,Date,Temp,Rain,Month,Year
170,20/06/1961,13,0,6,1961
171,21/06/1961,17.2,0,6,1961
172,22/06/1961,15.4,2.2,6,1961
173,23/06/1961,15,0,6,1961
174,24/06/1961,15.6,0,6,1961
175,25/06/1961,16.2,0,6,1961
176,26/06/1961,22.8,0,6,1961
177,27/06/1961,15.6,6.5,6,1961
178,28/06/1961,13.8,8,6,1961
179,29/06/1961,15.2,0,6,1961
180,30/06/1961,15.2,0,6,1961
181,01/07/1961,17,0,7,1961
182,02/07/1961,16.2,0,7,1961
183,03/07/1961,15,0,7,1961
184,04/07/1961,14.4,0,7,1961
185,05/07/1961,13.6,0,7,1961
186,06/07/1961,14.2,0,7,1961
187,07/07/1961,17.4,0,7,1961
188,08/07/1961,15,0,7,1961
189,09/07/1961,15.2,0,7,1961
190,10/07/1961,15.4,0,7,1961
191,11/07/1961,17.2,0,7,1961
192,12/07/1961,22.6,0,7,1961
193,13/07/1961,15.4,7,7,1961
194,14/07/1961,12,2.8,7,1961
195,15/07/1961,13.2,0.1,7,1961
196,16/07/1961,15.8,0,7,1961
197,17/07/1961,16.6,0,7,1961
198,18/07/1961,17.2,0,7,1961
199,19/07/1961,14.8,0,7,1961
200,20/07/1961,15,0,7,1961
201,21/07/1961,19.2,0,7,1961
202,22/07/1961,25.2,0,7,1961
203,23/07/1961,16.6,4,7,1961
204,24/07/1961,11,3,7,1961
205,25/07/1961,9.6,5.3,7,1961
206,26/07/1961,10.6,0,7,1961
207,27/07/1961,12.4,0,7,1961
208,28/07/1961,12.2,0,7,1961
209,29/07/1961,13.6,3.5,7,1961
210,30/07/1961,13.2,1.2,7,1961
211,31/07/1961,14.2,0,7,1961
212,01/08/1961,13.2,14.5,8,1961
213,02/08/1961,14.2,0.5,8,1961
214,03/08/1961,15.4,6,8,1961
215,04/08/1961,11.8,1.2,8,1961
216,05/08/1961,11.6,0.8,8,1961
217,06/08/1961,12.8,0,8,1961
218,07/08/1961,15.8,0,8,1961
219,08/08/1961,19.4,0.6,8,1961
220,09/08/1961,16.4,0,8,1961
221,10/08/1961,15.6,0,8,1961
222,11/08/1961,14.2,0,8,1961
223,12/08/1961,17.2,0,8,1961
224,13/08/1961,16.6,0,8,1961
225,14/08/1961,14.6,0,8,1961
226,15/08/1961,17,0,8,1961
227,16/08/1961,12.4,9.8,8,1961
228,17/08/1961,12.8,0,8,1961
229,18/08/1961,14.4,0,8,1961
230,19/08/1961,15.6,0,8,1961
231,20/08/1961,23.4,0,8,1961
232,21/08/1961,25.6,0,8,1961
233,22/08/1961,16.2,0,8,1961
234,23/08/1961,18.2,0,8,1961
235,24/08/1961,25.4,0.4,8,1961
236,25/08/1961,11.8,2.5,8,1961
237,26/08/1961,15,0,8,1961
238,27/08/1961,14.2,2.5,8,1961
239,28/08/1961,13.6,4,8,1961
240,29/08/1961,14.8,7,8,1961
241,30/08/1961,14.8,0.5,8,1961
242,31/08/1961,12.8,7.8,8,1961
243,01/09/1961,12.2,0.3,9,1961
244,02/09/1961,13.8,0,9,1961
245,03/09/1961,18.6,0,9,1961
246,04/09/1961,15.8,0,9,1961
247,05/09/1961,11.6,11.5,9,1961
248,06/09/1961,12.6,3.5,9,1961
249,07/09/1961,11.8,3.5,9,1961
250,08/09/1961,15.8,0,9,1961
251,09/09/1961,16.6,0,9,1961
252,10/09/1961,17,0,9,1961
253,11/09/1961,14.4,0,9,1961
254,12/09/1961,14.8,1.5,9,1961
255,13/09/1961,15,0,9,1961
256,14/09/1961,15.2,0.1,9,1961
257,15/09/1961,12.2,14,9,1961
258,16/09/1961,10.8,0,9,1961
259,17/09/1961,15.8,0,9,1961
260,18/09/1961,15.6,0,9,1961
261,19/09/1961,16.6,0,9,1961
262,20/09/1961,15,0.3,9,1961
263,21/09/1961,14.8,0,9,1961
264,22/09/1961,18.2,0,9,1961
265,23/09/1961,14.4,1,9,1961
266,24/09/1961,16,0,9,1961
267,25/09/1961,21.2,0,9,1961
268,26/09/1961,16,7.5,9,1961
269,27/09/1961,10.2,3,9,1961
270,28/09/1961,13.8,0,9,1961
271,29/09/1961,13,0,9,1961
272,30/09/1961,17.6,3.7,9,1961
273,01/10/1961,14,0,10,1961
274,02/10/1961,12,0,10,1961
275,03/10/1961,14.6,0,10,1961
276,04/10/1961,15.4,0,10,1961
277,05/10/1961,16.2,0,10,1961
278,06/10/1961,17.6,0,10,1961
279,07/10/1961,11.8,14.5,10,1961
280,08/10/1961,14.2,0.3,10,1961
281,09/10/1961,15,0,10,1961
282,10/10/1961,14,0,10,1961
283,11/10/1961,13.8,0,10,1961
284,12/10/1961,16.8,0,10,1961
285,13/10/1961,12.4,3,10,1961
286,14/10/1961,14,4.2,10,1961
287,15/10/1961,16.2,0,10,1961
288,16/10/1961,18,0,10,1961
289,17/10/1961,20.8,0.3,10,1961
290,18/10/1961,16.8,0,10,1961
291,19/10/1961,17.2,0,10,1961
