,species,family_GM,resprout_postfire,herb,geophyte,graminoid,low_shrub,tall_shrub
509,Ehrharta ramosa,POACEAE,1,0,0,1,0,0
512,Ehrharta setacea,POACEAE,1,0,0,1,0,0
513,Ehrharta villosa,POACEAE,1,0,0,1,0,0
516,Elegia cuspidata,RESTIONACEAE,0,0,0,1,0,0
521,Elegia filacea,RESTIONACEAE,0,0,0,1,0,0
525,Elegia juncea,RESTIONACEAE,1,0,0,1,0,0
528,Elegia neesii,RESTIONACEAE,0,0,0,1,0,0
529,Elegia nuda,RESTIONACEAE,0,0,0,1,0,0
530,Elegia persistens,RESTIONACEAE,0,0,0,1,0,0
533,Elegia stipularis,RESTIONACEAE,0,0,0,1,0,0
535,Elegia thyrsifera,RESTIONACEAE,1,0,0,1,0,0
536,Elegia vaginulata,RESTIONACEAE,1,0,0,1,0,0
543,Elytropappus scaber,ASTERACEAE,0,0,0,0,1,0
547,Epischoenus quadrangularis,CYPERACEAE,1,0,0,1,0,0
548,Eragrostis capensis,POACEAE,1,0,0,1,0,0
554,Erepsia anceps,AIZOACEAE,0,0,0,0,1,0
556,Erepsia bracteata,AIZOACEAE,0,0,0,0,1,0
560,Erica abietina,ERICACEAE,0,0,0,0,1,0
570,Erica axillaris,ERICACEAE,0,0,0,0,1,0
578,Erica bruniades,ERICACEAE,0,0,0,0,1,0
581,Erica capensis,ERICACEAE,0,0,0,0,1,0
582,Erica capillaris,ERICACEAE,0,0,0,0,1,0
584,Erica cerinthoides,ERICACEAE,1,0,0,0,1,0
586,Erica clavisepala,ERICACEAE,0,0,0,0,1,0
588,Erica coccinea,ERICACEAE,1,0,0,0,0,1
593,Erica corifolia,ERICACEAE,0,0,0,0,1,0
607,Erica eburnea,ERICACEAE,0,0,0,0,1,0
609,Erica ericoides,ERICACEAE,0,0,0,0,1,0
610,Erica exleeana,ERICACEAE,0,0,0,0,1,0
615,Erica glabella,ERICACEAE,0,0,0,0,1,0
616,Erica gnaphaloides,ERICACEAE,0,0,0,0,1,0
623,Erica hirtiflora,ERICACEAE,0,0,0,0,1,0
624,Erica hispidula,ERICACEAE,0,0,0,0,1,0
625,Erica imbricata,ERICACEAE,0,0,0,0,1,0
631,Erica labialis,ERICACEAE,0,0,0,0,1,0
632,Erica laeta,ERICACEAE,0,0,0,0,1,0
633,Erica lasciva,ERICACEAE,1,0,0,0,1,0
637,Erica mammosa,ERICACEAE,1,0,0,0,0,1
643,Erica muscosa,ERICACEAE,0,0,0,0,1,0
648,Erica obliqua,ERICACEAE,0,0,0,0,1,0
651,Erica palliiflora,ERICACEAE,0,0,0,0,1,0
653,Erica parviflora,ERICACEAE,0,0,0,0,1,0
660,Erica plukenetii,ERICACEAE,0,0,0,0,0,1
664,Erica pulchella,ERICACEAE,0,0,0,0,1,0
674,Erica similis,ERICACEAE,0,0,0,0,1,0
678,Erica spumosa,ERICACEAE,0,0,0,0,1,0
682,Erica subcapitata,ERICACEAE,0,0,0,0,1,0
683,Erica subdivaricata,ERICACEAE,0,0,0,0,1,0
690,Erica tristis,ERICACEAE,0,0,0,0,0,1
701,Eriocephalus racemosus,ASTERACEAE,0,0,0,0,0,1
710,Euclea racemosa,EBENACEAE,1,0,0,0,0,1
714,Euphorbia erythrina,EUPHORBIACEAE,0,1,0,0,0,0
715,Euphorbia genistoides,EUPHORBIACEAE,0,1,0,0,0,0
722,Euphorbia silenifolia,EUPHORBIACEAE,1,1,0,0,0,0
723,Euphorbia tuberosa,EUPHORBIACEAE,1,1,0,0,0,0
724,Euryops abrotanifolius,ASTERACEAE,0,0,0,0,1,0
747,Ficinia anceps,CYPERACEAE,1,0,0,1,0,0
748,Ficinia brevifolia,CYPERACEAE,1,0,0,1,0,0
749,Ficinia bulbosa,CYPERACEAE,1,0,0,1,0,0
